img_path,mos
./train/y60w3lwwp9.jpg,8.6
./train/qtkrjci89o.jpg,8.36121673004
./train/4p76dmf8w4.jpg,8.31081081081
./train/tg2pjt29sa.jpg,8.304
./train/ph0utlxt9k.jpg,8.3
./train/h0bcjnxb6n.jpg,8.27096774194
./train/dbyzru7d7p.jpg,8.26952141058
./train/6nqpov7wgx.jpg,8.23943661972
./train/2ery8aq067.jpg,8.23270440252
./train/o7xfr178em.jpg,8.19387755102
./train/435auj07z3.jpg,8.14027149321
./train/ioebi1rbk7.jpg,8.10884353741
./train/uw0wgbvcfq.jpg,8.10408921933
./train/686izw7y6k.jpg,8.09239130435
./train/1kdqquclq8.jpg,8.09057971014
./train/08c4lvf9nv.jpg,8.07425742574
./train/pg9xoza9uq.jpg,8.07287449393
./train/3ilcm5asa4.jpg,8.05594405594
./train/1kmidco60y.jpg,8.04395604396
./train/5s8ha7nq9o.jpg,8.04301075269
./train/hg8qrr3hf7.jpg,8.04210526316
./train/ma2257bn9v.jpg,8.024
./train/jg6lcij8u8.jpg,8.01785714286
./train/g3go1pijp8.jpg,8.01339285714
./train/8uix5anzib.jpg,8.00602409639
./train/fndq1du7au.jpg,8.0
./train/802qff7hw0.jpg,8.0
./train/obq0fcjguv.jpg,7.99378881988
./train/x1j3hai284.jpg,7.98918918919
./train/7vypkylc50.jpg,7.98536585366
./train/3pn5arnimu.jpg,7.97833935018
./train/gp6nqh92z0.jpg,7.9593495935
./train/hxcdd9u9ji.jpg,7.95454545455
./train/dy12bot8ik.jpg,7.95027624309
./train/rlv4pff5vt.jpg,7.94495412844
./train/tqzzl42m3w.jpg,7.94262295082
./train/5hjbixha4d.jpg,7.94117647059
./train/xasivbk7c8.jpg,7.9381443299
./train/2yebgqniyj.jpg,7.93658536585
./train/masfnzwkyw.jpg,7.93617021277
./train/kldgyo8nw6.jpg,7.93273542601
./train/4ektvkjbp9.jpg,7.92808219178
./train/ioiqkne20s.jpg,7.92016806723
./train/hq8317dcze.jpg,7.916
